epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.3266,2.18782,6.00344,2.08486,0.58287,0.41709,0.35919,0.16001,1.912,3.40368,1.96749,0.00013635,0.00013635,0.00013635
2,14.4635,1.83667,3.52644,1.73726,0.89227,0.26941,0.52972,0.2361,2.02011,2.77242,2.0487,0.000280395,0.000280395,0.000280395
3,19.9932,1.77073,2.57637,1.6663,0.58885,0.25004,0.4365,0.21832,2.07613,3.13733,2.13213,0.000423,0.000423,0.000423
4,26.3229,1.82273,2.28772,1.67381,0.72895,0.35109,0.50343,0.20024,2.18209,2.34113,2.24381,0.000564166,0.000564166,0.000564166
5,32.061,1.73185,2.00081,1.66767,0.41167,0.30583,0.32644,0.12452,2.53266,2.54555,2.43974,0.000703891,0.000703891,0.000703891
6,38.2318,1.8454,1.91357,1.77496,0.39091,0.55544,0.57472,0.18189,2.38223,2.52412,2.62459,0.000842177,0.000842177,0.000842177
7,43.7238,1.79853,1.7813,1.70203,0.7126,0.42721,0.4953,0.20758,2.26303,2.47687,2.64205,0.000882003,0.000882003,0.000882003
8,50.0478,1.7553,1.66018,1.71166,0.71106,0.36753,0.45836,0.19459,2.3107,2.66044,2.61766,0.000877503,0.000877503,0.000877503
9,55.5243,1.79362,1.61587,1.76435,0.37106,0.6693,0.57451,0.2389,2.16004,2.90858,2.3888,0.000873004,0.000873004,0.000873004
10,61.4323,1.76616,1.47145,1.69002,0.53511,0.53446,0.64811,0.27898,2.20895,1.86493,2.31839,0.000868504,0.000868504,0.000868504
11,67.3435,1.80641,1.46678,1.70136,0.46636,0.70314,0.60445,0.23552,2.21739,2.34805,2.46069,0.000864004,0.000864004,0.000864004
12,72.753,1.70417,1.42505,1.66681,0.67543,0.64838,0.70658,0.29545,2.03568,1.72399,2.16168,0.000859505,0.000859505,0.000859505
13,79.0393,1.79235,1.37209,1.71103,0.72686,0.61443,0.62224,0.23835,2.2472,2.03143,2.39059,0.000855005,0.000855005,0.000855005
14,84.442,1.79688,1.45999,1.70323,0.81902,0.60246,0.74813,0.31835,2.1615,1.88974,2.28971,0.000850506,0.000850506,0.000850506
15,90.764,1.69035,1.37064,1.65056,0.49251,0.48416,0.51919,0.19544,2.40206,1.90712,2.63301,0.000846006,0.000846006,0.000846006
16,96.1767,1.69722,1.42884,1.66795,0.8256,0.50831,0.67324,0.28276,2.21785,2.00102,2.30969,0.000841507,0.000841507,0.000841507
17,102.611,1.70326,1.47075,1.70146,0.63667,0.76774,0.78945,0.35223,2.14846,1.68115,2.21149,0.000837007,0.000837007,0.000837007
18,108.055,1.65162,1.29683,1.65003,0.78747,0.78726,0.8725,0.33819,2.1465,1.62642,2.2614,0.000832508,0.000832508,0.000832508
19,114.084,1.75927,1.35661,1.65839,0.75435,0.61776,0.74107,0.32177,2.01969,1.54708,2.06457,0.000828008,0.000828008,0.000828008
20,119.786,1.64673,1.24882,1.6114,0.78548,0.82238,0.90828,0.41067,1.97684,1.34234,2.06559,0.000823509,0.000823509,0.000823509
21,125.373,1.65808,1.16703,1.62914,0.79163,0.74809,0.87329,0.38914,1.9551,1.56664,2.00713,0.000819009,0.000819009,0.000819009
22,131.406,1.59907,1.08715,1.5712,0.79499,0.6559,0.72397,0.3521,2.05713,1.24686,2.0249,0.000814509,0.000814509,0.000814509
23,136.836,1.6899,1.25241,1.61515,0.64713,0.69167,0.7251,0.32061,2.0612,1.43983,2.04716,0.00081001,0.00081001,0.00081001
24,143.044,1.60794,1.15528,1.57401,0.70834,0.66657,0.80007,0.30476,2.2471,1.59221,2.21286,0.00080551,0.00080551,0.00080551
25,148.479,1.62084,1.2032,1.6274,0.71848,0.82381,0.88062,0.36042,2.14747,1.24744,2.20325,0.000801011,0.000801011,0.000801011
26,154.653,1.63437,1.12685,1.59678,0.74559,0.86953,0.84593,0.36509,2.01205,1.15397,2.06055,0.000796511,0.000796511,0.000796511
27,160.203,1.60007,1.11171,1.53283,0.81035,0.80204,0.83876,0.40259,1.97007,1.23984,2.04125,0.000792012,0.000792012,0.000792012
28,166.239,1.51912,1.03335,1.53091,0.68583,0.78781,0.83523,0.36883,2.03509,1.31393,2.17811,0.000787512,0.000787512,0.000787512
29,171.937,1.64497,1.11192,1.65434,0.86931,0.75997,0.84476,0.36018,2.06842,1.35139,2.14278,0.000783013,0.000783013,0.000783013
30,177.436,1.55056,1.06129,1.55629,0.77972,0.84307,0.90189,0.40316,2.02761,1.29021,2.06595,0.000778513,0.000778513,0.000778513
31,183.579,1.56506,1.15746,1.60269,0.87846,0.84986,0.90097,0.40091,2.05014,1.15339,2.0456,0.000774013,0.000774013,0.000774013
32,188.984,1.58229,1.11841,1.6068,0.88401,0.85221,0.90286,0.37204,2.13387,1.12889,2.08521,0.000769514,0.000769514,0.000769514
33,195.074,1.58199,1.14967,1.60813,0.84067,0.87467,0.90912,0.4033,1.97797,1.09276,1.96561,0.000765014,0.000765014,0.000765014
34,200.454,1.5657,1.12416,1.59021,0.74547,0.79634,0.84537,0.39449,1.87523,1.15875,1.89608,0.000760515,0.000760515,0.000760515
35,206.813,1.51862,1.03042,1.53186,0.79315,0.81888,0.84181,0.41956,1.96351,1.08847,1.98177,0.000756015,0.000756015,0.000756015
36,212.264,1.49826,1.05914,1.4847,0.84925,0.79581,0.87074,0.39262,2.03016,1.15198,2.0704,0.000751516,0.000751516,0.000751516
